,homoloid,mouse,human
97,42538160,2900026A02Rik,KIAA1671
98,42551668,2900092C05Rik,C19orf18
99,42532333,3110009E18Rik,C2orf76
100,42534443,3110040N11Rik,C15orf40
101,42551099,3110082I17Rik,C7orf50
102,42543853,3425401B19Rik,C10orf71
103,42540866,3830406C13Rik,C3orf14
104,42533472,4833420G17Rik,C5orf34
105,42542717,4833439L19Rik,KIAA1191
106,42533423,4921504E06Rik,C10orf67
107,42551274,4921507P07Rik,C7orf31
108,42551681,4921517D22Rik,C9orf153
109,42533574,4921524J17Rik,C16orf87
110,42552410,4921536K21Rik,C5orf52
111,42551835,4921539E11Rik,C1orf141
112,42552268,4930407I10Rik,C22orf46P
113,42534343,4930415L06Rik,PPP4R3C
114,42533906,4930430F08Rik,C12orf29
115,42551620,4930433I11Rik,C2orf78
116,42552143,4930444P10Rik,C8orf89
117,42550077,4930447C04Rik,C14orf39
118,42552439,4930451I11Rik,C16orf92
119,42532388,4930453N24Rik,C3orf38
120,42554017,4930469K13Rik,C5orf58
121,42534395,4930503L19Rik,C18orf54
122,42552267,4930505A04Rik,C2orf73
123,42551401,4930522H14Rik,C1orf185
124,42553824,4930523C07Rik,KIAA0040
125,42550138,4930524B15Rik,C5orf47
126,42551495,4930544D05Rik,C17orf107
127,42552103,4930550C14Rik,C11orf65
128,42549350,4930558K02Rik,C1orf105
129,42553584,4930562C15Rik,C16orf96
130,42552870,4930563E22Rik,C17orf100
131,42538399,4930578I06Rik,C8orf74
132,42550627,4930579F01Rik,C4orf17
133,42551743,4930579G24Rik,C4orf46
134,42552667,4930590J08Rik,C3orf20
135,42550029,4930595M18Rik,SRSF8
136,42534632,4931406C07Rik,C11orf54
137,42550762,4931414P19Rik,C14orf93
138,42551420,4931428F04Rik,MATCAP1
139,42548385,4931428L18Rik,ALYREF
140,42534342,4932429P05Rik,PPP4R3C
141,42549507,4932438H23Rik,C21orf62
142,42551467,4933402J07Rik,C16orf78
143,42552229,4933402N03Rik,C10orf120
144,42552380,4933405L10Rik,C16orf86
145,42551101,4933411K16Rik,C10orf62
146,42553286,4933423P22Rik,PTPRJ-AS1
147,42553525,4933424G06Rik,C2orf92
148,42536368,4933427D14Rik,KIAA0753
149,42551303,4933430I17Rik,C9orf43
150,42534373,4933434E20Rik,C1orf43
151,42544212,5031439G07Rik,KIAA0930
152,42549217,5730409E04Rik,C1orf216
153,42532929,5730455P16Rik,C17orf75
154,42534117,6030458C11Rik,C5orf22
155,42551450,6030468B19Rik,C17orf99
156,42545576,6430548M08Rik,KIAA0513
157,42539372,6430550D23Rik,C20orf173
158,42533557,6430571L13Rik,C3orf18
159,42544761,6820408C15Rik,C20orf96
160,42534131,8030462N17Rik,C18orf25
161,42551891,9030025P20Rik,ERMARD
162,42553380,9030622O22Rik,LINC00261
163,42552532,9130008F23Rik,C6orf141
164,42549017,9130019O22Rik,ZNF764
165,42551549,9130023H24Rik,ZNF696
166,42544818,9130409I23Rik,DEGS1
167,42553352,9230019H11Rik,ULBP3
168,42553717,9330117O12Rik,LINC01170
169,42541531,9330159F19Rik,KIAA0408
170,42533296,9430015G10Rik,C1orf159
171,42552589,9430038I01Rik,C10orf143
172,42545949,9530003J23Rik,LYZ
173,42547457,9530053A07Rik,FCGBP
174,42534165,9530068E07Rik,C5orf15
175,42545812,9530077C05Rik,MATCAP2
176,42551879,9930012K11Rik,C8orf58
177,42548910,9930021J03Rik,KIAA2026
178,42541822,9930104L06Rik,C1orf109
179,42537017,a,ASIP
180,42532746,A130010J15Rik,C1orf74
181,42552191,A1bg,A1BG
182,42535799,A1cf,A1CF
183,42534321,A2m,A2M
184,42552548,A3galt2,A3GALT2
185,42545653,A430005L14Rik,C1orf174
186,42552144,A4galt,A4GALT
187,42552646,A4gnt,A4GNT
188,42552171,A530016L24Rik,C14orf180
189,42549705,A530032D15Rik,SP140
190,42553142,A630089N07Rik,ZNF788P
191,42553261,A730046J19Rik,SERTM2
192,42534081,A830018L16Rik,C8orf34
193,42532327,A930017K11Rik,PRR35
194,42550526,A930018P22Rik,C11orf91
195,42533496,AA467197,C15orf48
196,42534009,AA986860,C1orf116
197,42540399,Aaas,AAAS
198,42542442,Aacs,AACS
199,42539250,Aadac,AADAC
200,42539248,Aadacl2,AADACL2
201,42545607,Aadacl3,AADACL3
202,42545605,Aadacl4,AADACL4
203,42545601,Aadacl4fm1,AADACL4
204,42545603,Aadacl4fm2,AADACL4
205,42545604,AAdacl4fm3,AADACL4
206,42545606,Aadacl4fm4,AADACL4
207,42545602,Aadacl4fm5,AADACL4
208,42547464,Aadat,AADAT
209,42542230,Aagab,AAGAB
210,42533615,Aak1,AAK1
211,42534652,Aamdc,AAMDC
212,42543709,Aamp,AAMP
213,42535640,Aanat,AANAT
214,42546002,Aar2,AAR2
215,42532931,Aard,AARD
216,42542563,Aars,AARS1
217,42535793,Aars2,AARS2
218,42545852,Aarsd1,AARSD1
219,42538302,Aasdh,AASDH
220,42541922,Aasdhppt,AASDHPPT
221,42541149,Aass,AASS
222,42544494,Aatf,AATF
223,42538098,Aatk,AATK
224,42551185,AB124611,C19orf38
225,42539729,Abat,ABAT
226,42542707,Abca1,ABCA1
227,42541517,Abca12,ABCA12
228,42553004,Abca13,ABCA13
229,42551687,Abca15,CRYM-AS1
230,42552842,Abca17,ABCA17P
231,42547861,Abca2,ABCA2
232,42534109,Abca3,ABCA3
233,42539311,Abca4,ABCA4
234,42540347,Abca5,ABCA5
235,42540348,Abca6,ABCA6
236,42533930,Abca7,ABCA7
237,42540344,Abca8a,ABCA8
238,42540345,Abca8b,ABCA8
239,42540346,Abca9,ABCA9
240,42537527,Abcb10,ABCB10
241,42535372,Abcb11,ABCB11
242,42538034,Abcb1a,ABCB1
243,42538032,Abcb1b,ABCB1
244,42538033,Abcb4,ABCB4
245,42541837,Abcb5,ABCB5
246,42542293,Abcb6,ABCB6
247,42536789,Abcb7,ABCB7
248,42547447,Abcb8,ABCB8
249,42536605,Abcb9,ABCB9
250,42538643,Abcc1,ABCC1
251,42533770,Abcc10,ABCC10
252,42545232,Abcc12,ABCC12
253,42543880,Abcc2,ABCC2
254,42533032,Abcc3,ABCC3
255,42540074,Abcc4,ABCC4
256,42544924,Abcc5,ABCC5
257,42545200,Abcc6,ABCC6
258,42537360,Abcc8,ABCC8
259,42547041,Abcc9,ABCC9
260,42546502,Abcd1,ABCD1
261,42552857,Abcd2,ABCD2
262,42539039,Abcd3,ABCD3
263,42542160,Abcd4,ABCD4
264,42546082,Abce1,ABCE1
265,42537255,Abcf1,ABCF1
266,42534139,Abcf2,ABCF2
267,42544005,Abcf3,ABCF3
268,42548353,Abcg1,ABCG1
269,42537185,Abcg2,ABCG2
270,42552751,Abcg3,ABCG2
271,42535553,Abcg4,ABCG4
272,42542297,Abcg5,ABCG5
273,42548546,Abcg8,ABCG8
274,42552164,Abhd1,ABHD1
275,42537892,Abhd10,ABHD10
276,42544619,Abhd11,ABHD11
277,42540274,Abhd12,ABHD12
278,42533832,Abhd12b,ABHD12B
279,42537207,Abhd13,ABHD13
280,42535506,Abhd14a,ABHD14A
281,42534665,Abhd14b,ABHD14B
282,42539221,Abhd15,ABHD15
283,42540191,Abhd16a,ABHD16A
284,42552283,Abhd16b,ABHD16B
285,42534182,Abhd17a,ABHD17A
286,42541102,Abhd17b,ABHD17B
287,42543314,Abhd17c,ABHD17C
288,42534422,Abhd18,ABHD18
289,42539642,Abhd2,ABHD2
290,42534872,Abhd3,ABHD3
291,42547089,Abhd4,ABHD4
292,42552479,Abhd5,ABHD5
293,42546118,Abhd6,ABHD6
294,42534468,Abhd8,ABHD8
295,42536732,Abi1,ABI1
296,42532640,Abi2,ABI2
297,42532856,Abi3,ABI3
298,42544072,Abi3bp,ABI3BP
299,42548203,Abitram,ABITRAM
300,42547358,Abl1,ABL1
301,42541394,Abl2,ABL2
302,42537342,Ablim1,ABLIM1
303,42542291,Ablim2,ABLIM2
304,42539274,Ablim3,ABLIM3
305,42551883,Abo,ABO
306,42534963,Abr,ABR
307,42540304,Abra,ABRA
308,42544752,Abracl,ABRACL
309,42546189,Abraxas1,ABRAXAS1
310,42534041,Abraxas2,ABRAXAS2
311,42537459,Abt1,ABT1
312,42533294,Abtb1,ABTB1
313,42541277,Abtb2,ABTB2
314,42536991,Abtb3,ABTB3
315,42548240,Acaa1a,ACAA1
316,42548241,Acaa1b,ACAA1
317,42538348,Acaa2,ACAA2
318,42545663,Acaca,ACACA
319,42541758,Acacb,ACACB
320,42552260,Acad10,ACAD10
321,42545440,Acad11,ACAD11
322,42552259,Acad12,ACAD10
323,42540667,Acad8,ACAD8
324,42547079,Acad9,ACAD9
325,42547200,Acadl,ACADL
326,42543678,Acadm,ACADM
327,42547086,Acads,ACADS
328,42538726,Acadsb,ACADSB
329,42545304,Acadvl,ACADVL
330,42538849,Acan,ACAN
331,42542657,Acap1,ACAP1
332,42532422,Acap2,ACAP2
333,42535501,Acap3,ACAP3
334,42537891,Acat1,ACAT1
335,42535884,Acat2,ACAT2
336,42535885,Acat3,ACAT2
337,42533925,Acbd3,ACBD3
338,42543281,Acbd4,ACBD4
339,42544843,Acbd5,ACBD5
340,42542076,Acbd6,ACBD6
341,42543784,Acbd7,ACBD7
342,42544345,Accs,ACCS
343,42551829,Accsl,ACCSL
344,42539153,Acd,ACD
345,42546819,Ace,ACE
346,42543671,Ace2,ACE2
347,42546820,Ace3,ACE3P
348,42548298,Acer1,ACER1
349,42538721,Acer2,ACER2
350,42537836,Acer3,ACER3
351,42546334,Ache,ACHE
352,42535061,Acin1,ACIN1
353,42554121,Ackr1,ACKR1
354,42552387,Ackr2,ACKR2
355,42539835,Ackr3,ACKR3
356,42537305,Ackr4,ACKR4
357,42545926,Acly,ACLY
358,42541047,Acmsd,ACMSD
359,42543233,Aco1,ACO1
360,42543222,Aco2,ACO2
361,42542597,Acod1,ACOD1
362,42535616,Acot1,ACOT1
363,42538414,Acot10,ACOT9
364,42538357,Acot11,ACOT11
365,42552069,Acot12,ACOT12
366,42544484,Acot13,ACOT13
367,42535617,Acot2,ACOT2
368,42535619,Acot3,ACOT1
369,42535615,Acot4,ACOT4
370,42535620,Acot5,ACOT1
371,42535618,Acot6,ACOT6
372,42547754,Acot7,ACOT7
373,42538406,Acot8,ACOT8
374,42538415,Acot9,ACOT9
375,42536036,Acox1,ACOX1
376,42551959,Acox2,ACOX2
377,42546701,Acox3,ACOX3
378,42538971,Acoxl,ACOXL
379,42546493,Acp1,ACP1
380,42548293,Acp2,ACP2
381,42551745,Acp4,ACP4
382,42545212,Acp5,ACP5
383,42538099,Acp6,ACP6
384,42544135,Acp7,ACP7
385,42552254,Acpp,ACP3
386,42548497,Acr,ACR
387,42552627,Acrbp,ACRBP
388,42552714,Acrv1,ACRV1
389,42547134,Acsbg1,ACSBG1
390,42542549,Acsbg2,ACSBG2
391,42544500,Acsf2,ACSF2
392,42538940,Acsf3,ACSF3
393,42542795,Acsl1,ACSL1
394,42534956,Acsl3,ACSL3
395,42535757,Acsl4,ACSL4
396,42547127,Acsl5,ACSL5
397,42534100,Acsl6,ACSL6
398,42553512,Acsm1,ACSM1
399,42544723,Acsm3,ACSM3
400,42552124,Acsm4,ACSM4
401,42551803,Acsm5,ACSM5
402,42548072,Acss1,ACSS1
403,42541876,Acss2,ACSS2
404,42547745,Acss3,ACSS3
405,42538716,Acta1,ACTA1
406,42537530,Acta2,ACTA2
407,42538205,Actb,ACTB
408,42552972,Actbl2,ACTBL2
409,42534046,Actc1,ACTC1
410,42551503,Acte1,ACTE1P
411,42538206,Actg1,ACTG1
412,42552579,Actg2,ACTG2
413,42552205,Actl10,ACTL10
414,42552215,Actl11,ACTL11P
415,42537618,Actl6a,ACTL6A
416,42545861,Actl6b,ACTL6B
417,42551655,Actl7a,ACTL7A
418,42552602,Actl7b,ACTL7B
419,42552129,Actl9,ACTL9
420,42544725,Actn1,ACTN1
421,42545414,Actn2,ACTN2
422,42535823,Actn3,ACTN3
423,42547823,Actn4,ACTN4
424,42544519,Actr10,ACTR10
425,42552176,Actr1a,ACTR1A
426,42544785,Actr1b,ACTR1B
427,42536010,Actr2,ACTR2
428,42534923,Actr3,ACTR3
429,42541146,Actr3b,ACTR3B
430,42535515,Actr5,ACTR5
431,42538766,Actr6,ACTR6
432,42540447,Actr8,ACTR8
433,42552610,Actrt1,ACTRT1
434,42552167,Actrt2,ACTRT2
435,42552789,Actrt3,ACTRT3
436,42548259,Acvr1,ACVR1
437,42537514,Acvr1b,ACVR1B
438,42552551,Acvr1c,ACVR1C
439,42547049,Acvr2a,ACVR2A
440,42548256,Acvr2b,ACVR2B
441,42546713,Acvrl1,ACVRL1
442,42545770,Acy1,ACY1
443,42537757,Acy3,ACY3
444,42535939,Acyp1,ACYP1
445,42535940,Acyp2,ACYP2
446,42538544,Ada,ADA
447,42543699,Adad1,ADAD1
448,42539356,Adad2,ADAD2
449,42546155,Adal,ADAL
450,42544996,Adam10,ADAM10
451,42546613,Adam11,ADAM11
452,42544817,Adam12,ADAM12
453,42536327,Adam15,ADAM15
454,42543968,Adam17,ADAM17
455,42552774,Adam18,ADAM18
456,42542368,Adam19,ADAM19
457,42552471,Adam1a,ADAM1A
458,42551843,Adam1b,ADAM1B
459,42551963,Adam2,ADAM2
460,42552607,Adam20,ADAM20
461,42553904,Adam21,ADAM21
462,42542757,Adam22,ADAM22
463,42546394,Adam23,ADAM23
464,42552411,Adam24,ADAM24P
465,42552605,Adam25,ADAM20
466,42539704,Adam28,ADAM28
467,42554092,Adam29,ADAM29
468,42552713,Adam3,ADAM3A
469,42552793,Adam30,ADAM30
470,42552658,Adam32,ADAM32
471,42542431,Adam33,ADAM33
472,42552606,Adam39,ADAM20
473,42552035,Adam5,ADAM5
474,42552722,Adam6a,ADAM6
475,42539706,Adam7,ADAM7
476,42545528,Adam8,ADAM8
477,42548064,Adam9,ADAM9
478,42539705,Adamdec1,ADAMDEC1
479,42541679,Adamts1,ADAMTS1
480,42548187,Adamts10,ADAMTS10
481,42545642,Adamts12,ADAMTS12
482,42536012,Adamts13,ADAMTS13
483,42552644,Adamts14,ADAMTS14
484,42542692,Adamts15,ADAMTS15
485,42552695,Adamts16,ADAMTS16
486,42547198,Adamts17,ADAMTS17
487,42543962,Adamts18,ADAMTS18
488,42552102,Adamts19,ADAMTS19
489,42532940,Adamts2,ADAMTS2
490,42547715,Adamts20,ADAMTS20
491,42537760,Adamts3,ADAMTS3
492,42552630,Adamts4,ADAMTS4
493,42551876,Adamts5,ADAMTS5
494,42541629,Adamts6,ADAMTS6
495,42552185,Adamts7,ADAMTS7
496,42538724,Adamts8,ADAMTS8
497,42547716,Adamts9,ADAMTS9
498,42553021,Adamtsl1,ADAMTSL1
499,42539168,Adamtsl2,ADAMTSL2
500,42541219,Adamtsl3,ADAMTSL3
501,42548551,Adamtsl4,ADAMTSL4
502,42533916,Adamtsl5,ADAMTSL5
503,42543396,Adap1,ADAP1
504,42538029,Adap2,ADAP2
505,42534977,Adar,ADAR
506,42538682,Adarb1,ADARB1
507,42536738,Adarb2,ADARB2
508,42541477,Adat1,ADAT1
509,42540684,Adat2,ADAT2
510,42536314,Adat3,ADAT3
511,42539361,Adck1,ADCK1
512,42532513,Adck2,ADCK2
513,42541136,Adck5,ADCK5
514,42535863,Adcy1,ADCY1
515,42552960,Adcy10,ADCY10
516,42535944,Adcy2,ADCY2
517,42541220,Adcy3,ADCY3
518,42552766,Adcy4,ADCY4
519,42536997,Adcy5,ADCY5
520,42545389,Adcy6,ADCY6
521,42541825,Adcy7,ADCY7
522,42541820,Adcy8,ADCY8
523,42534037,Adcy9,ADCY9
524,42539032,Adcyap1,ADCYAP1
525,42537482,Adcyap1r1,ADCYAP1R1
526,42548574,Add1,ADD1
527,42535492,Add2,ADD2
528,42537790,Add3,ADD3
529,42548008,Adgb,ADGB
530,42534246,Adgra1,ADGRA1
531,42547417,Adgra2,ADGRA2
532,42539113,Adgra3,ADGRA3
533,42538108,Adgrb1,ADGRB1
534,42536064,Adgrb2,ADGRB2
535,42547709,Adgrb3,ADGRB3
536,42545591,Adgrd1,ADGRD1
537,42542213,Adgre1,ADGRE1
538,42552954,Adgre4,ADGRE4P
539,42542212,Adgre5,ADGRE5
540,42536042,Adgrf1,ADGRF1
541,42537213,Adgrf2,ADGRF2
542,42542470,Adgrf3,ADGRF3
543,42537212,Adgrf4,ADGRF4
544,42532371,Adgrf5,ADGRF5
545,42541155,Adgrg1,ADGRG1
546,42542067,Adgrg2,ADGRG2
547,42541734,Adgrg3,ADGRG3
548,42543041,Adgrg4,ADGRG4
549,42541733,Adgrg5,ADGRG5
550,42536769,Adgrg6,ADGRG6
551,42536374,Adgrg7,ADGRG7
552,42546715,Adgrl1,ADGRL1
553,42547197,Adgrl2,ADGRL2
554,42542039,Adgrl3,ADGRL3
555,42537927,Adgrl4,ADGRL4
556,42536150,Adgrv1,ADGRV1
557,42535013,Adh4,ADH4
558,42542330,Adh5,ADH5
559,42535010,Adh6b,ADH6
560,42535012,Adh7,ADH7
561,42544083,Adhfe1,ADHFE1
562,42535374,Adi1,ADI1
563,42552224,Adig,ADIG
564,42541536,Adipoq,ADIPOQ
565,42537395,Adipor1,ADIPOR1
566,42536226,Adipor2,ADIPOR2
567,42545272,Adk,ADK
568,42538219,Adm,ADM
569,42536597,Adm2,ADM2
570,42534638,Adnp,ADNP
571,42538382,Adnp2,ADNP2
572,42546136,Ado,ADO
573,42542068,Adora1,ADORA1
574,42545597,Adora2a,ADORA2A
575,42542296,Adora2b,ADORA2B
576,42534629,Adora3,ADORA3
577,42546455,Adpgk,ADPGK
578,42543157,Adprh,ADPRH
579,42540698,Adprhl1,ADPRHL1
580,42538059,Adprm,ADPRM
581,42542961,Adprs,ADPRS
582,42534482,Adra1a,ADRA1A
583,42536128,Adra1b,ADRA1B
584,42547455,Adra1d,ADRA1D
585,42536407,Adra2a,ADRA2A
586,42546273,Adra2b,ADRA2B
587,42543844,Adra2c,ADRA2C
588,42543571,Adrb1,ADRB1
589,42535254,Adrb2,ADRB2
590,42538128,Adrb3,ADRB3
591,42538064,Adrm1,ADRM1
592,42538065,Adrm1b,ADRM1
593,42540028,Adsl,ADSL
594,42546918,Adss,ADSS2
595,42537498,Adssl1,ADSS1
596,42537256,Adtrp,ADTRP
597,42532423,Aebp1,AEBP1
598,42538727,Aebp2,AEBP2
599,42551836,Aen,AEN
600,42535212,Afap1,AFAP1
601,42542983,Afap1l1,AFAP1L1
602,42542366,Afap1l2,AFAP1L2
603,42545847,Afdn,AFDN
604,42540010,Aff1,AFF1
605,42538775,Aff2,AFF2
606,42543946,Aff3,AFF3
607,42539076,Aff4,AFF4
608,42534831,Afg1l,AFG1L
609,42537384,Afg3l1,AFG3L1P
610,42536162,Afg3l2,AFG3L2
611,42551816,Afm,AFM
612,42544492,Afmid,AFMID
613,42553046,Afp,AFP
614,42539886,Aftph,AFTPH
615,42548076,Aga,AGA
616,42548375,Agap1,AGAP1
617,42533693,Agap2,AGAP2
618,42537301,Agap3,AGAP3
619,42552456,Agbl1,AGBL1
620,42537771,Agbl2,AGBL2
621,42552858,Agbl3,AGBL3
622,42538563,Agbl4,AGBL4
623,42538284,Agbl5,AGBL5
624,42552279,Ager,AGER
625,42535180,Agfg1,AGFG1
626,42546816,Agfg2,AGFG2
627,42535017,Aggf1,AGGF1
628,42548111,Agk,AGK
629,42536801,Agl,AGL
630,42541199,Agmat,AGMAT
631,42548457,Agmo,AGMO
632,42546595,Ago1,AGO1
633,42541664,Ago2,AGO2
634,42533513,Ago3,AGO3
635,42548544,Ago4,AGO4
636,42539234,Agpat1,AGPAT1
637,42552227,Agpat2,AGPAT2
638,42534755,Agpat3,AGPAT3
639,42543936,Agpat4,AGPAT4
640,42535268,Agpat5,AGPAT5
641,42537933,Agps,AGPS
642,42546463,Agr2,AGR2
643,42541030,Agr3,AGR3
644,42547360,Agrn,AGRN
645,42540219,Agrp,AGRP
646,42539973,Agt,AGT
647,42547120,Agtpbp1,AGTPBP1
648,42540271,Agtr1a,AGTR1
649,42540272,Agtr1b,AGTR1
650,42543898,Agtr2,AGTR2
651,42547668,Agtrap,AGTRAP
652,42539280,Agxt,AGXT
653,42536317,Agxt2,AGXT2
654,42541667,Ahctf1,AHCTF1
655,42545577,Ahcy,AHCY
656,42545578,Ahcyl,AHCY
657,42539378,Ahcyl1,AHCYL1
658,42533064,Ahcyl2,AHCYL2
659,42547493,Ahdc1,AHDC1
660,42546680,Ahi1,AHI1
661,42545650,Ahnak,AHNAK
662,42554029,Ahnak2,AHNAK2
663,42545637,Ahr,AHR
664,42535278,Ahrr,AHRR
665,42538950,Ahsa1,AHSA1
666,42552489,Ahsa2,AHSA2P
667,42534669,Ahsg,AHSG
668,42552363,Ahsp,AHSP
669,42553654,AI429214,C8orf48
670,42551706,AI467606,C16orf54
671,42553411,AI480526,LINC01089
672,42532374,AI593442,C11orf87
673,42534306,AI597479,C2orf49
674,42551894,AI661453,C6orf132
675,42542010,AI837181,C11orf68
676,42544778,Aicda,AICDA
677,42535369,Aida,AIDA
678,42552457,Aif1,AIF1
679,42547703,Aif1l,AIF1L
680,42540308,Aifm1,AIFM1
681,42536002,Aifm2,AIFM2
682,42552943,Aifm3,AIFM3
683,42538089,Aig1,AIG1
684,42551759,Aim2,AIM2
685,42532754,Aimp1,AIMP1
686,42537794,Aimp2,AIMP2
687,42538832,Aip,AIP
688,42533975,Aipl1,AIPL1
689,42545127,Aire,AIRE
690,42553540,Airn,AIRN
691,42546230,Ajap1,AJAP1
692,42542058,Ajm1,AJM1
693,42546786,Ajuba,AJUBA
694,42540019,Ak1,AK1
695,42540350,AK157302,ISCA1
696,42547184,Ak2,AK2
697,42538666,Ak3,AK3
698,42539589,Ak4,AK4
699,42538493,Ak5,AK5
700,42543821,Ak6,AK6
701,42536149,Ak7,AK7
702,42547028,Ak8,AK8
703,42538845,Ak9,AK9
704,42552114,Akain1,AKAIN1
705,42541553,Akap1,AKAP1
706,42544424,Akap10,AKAP10
707,42539981,Akap11,AKAP11
708,42537818,Akap12,AKAP12
709,42536609,Akap13,AKAP13
710,42533214,Akap14,AKAP14
711,42551684,Akap3,AKAP3
712,42552213,Akap4,AKAP4
713,42553025,Akap5,AKAP5
714,42547928,Akap6,AKAP6
715,42545584,Akap7,AKAP7
716,42553037,Akap8,AKAP8
717,42542268,Akap8l,AKAP8L
718,42535598,Akap9,AKAP9
719,42538397,Akip1,AKIP1
720,42535049,Akirin1,AKIRIN1
721,42546523,Akirin2,AKIRIN2
722,42537231,Akna,AKNA
723,42542530,Aknad1,AKNAD1
724,42544927,Akr1a1,AKR1A1
725,42539073,Akr1b10,AKR1B10
726,42539072,Akr1b3,AKR1B1
727,42552352,Akr1c12,AKR1C4
728,42552351,Akr1c13,AKR1C4
729,42551764,Akr1c18,AKR1C3
730,42542265,Akr1c19,AKR1C4
731,42552117,Akr1d1,AKR1D1
732,42553030,Akr1e1,AKR1E2
733,42545565,Akt1,AKT1
734,42543686,Akt1s1,AKT1S1
735,42537959,Akt2,AKT2
736,42534389,Akt3,AKT3
737,42544127,Aktip,AKTIP
738,42548061,Alad,ALAD
739,42540900,Alas1,ALAS1
740,42539258,Alas2,ALAS2
741,42552664,Alb,ALB
742,42537084,Alcam,ALCAM
743,42540681,Aldh16a1,ALDH16A1
744,42535498,Aldh18a1,ALDH18A1
745,42552770,Aldh1a1,ALDH1A1
746,42544853,Aldh1a2,ALDH1A2
747,42541407,Aldh1a3,ALDH1A3
748,42552486,Aldh1a7,ALDH1A1
749,42551735,Aldh1b1,ALDH1B1
750,42536587,Aldh1l1,ALDH1L1
